year,price
2012-12-15,50.3
2012-12-16,51.3
2012-12-18,52.6
2012-12-19,46.2
2012-12-20,45.8
2012-12-21,46.1
2012-12-22,47.2
2012-12-23,46.6
2012-12-25,46.5
2012-12-26,48.4
2012-12-27,46.8
2012-12-28,46.3
2012-12-29,47.8
2012-12-30,47.9
2013-01-01,45.0
2013-01-02,43.2
2013-01-03,40.6
2013-01-04,39.3
2013-01-05,40.3
2013-01-06,43.5
2013-01-08,44.2
2013-01-09,40.6
2013-01-10,37.8
2013-01-11,38.3
2013-01-12,40.2
2013-01-13,40.5
2013-01-15,39.5
2013-01-16,37.6
2013-01-17,34.1
2013-01-18,32.9
2013-01-19,32.1
2013-01-20,33.2
2013-01-22,36.5
2013-01-23,37.0
2013-01-24,36.0
2013-01-25,36.0
2013-01-26,36.9
2013-01-27,38.0
2013-01-29,37.8
2013-01-30,36.5
2013-01-31,34.3
2013-02-01,36.3
2013-02-02,36.6
2013-02-03,36.8
2013-02-05,34.8
2013-02-06,33.1
2013-02-07,32.3
2013-02-08,32.4
2013-02-09,34.4
2013-02-15,39.6
2013-02-16,35.7
2013-02-17,36.5
2013-02-19,36.2
2013-02-20,35.7
2013-02-21,34.1
2013-02-22,32.7
2013-02-23,34.5
2013-02-24,37.4
2013-02-27,36.3
2013-02-28,33.3
2013-03-01,32.7
2013-03-02,31.5
2013-03-03,30.0
2013-03-05,29.9
2013-03-06,29.7
2013-03-07,31.0
2013-03-08,34.7
2013-03-09,36.1
2013-03-10,36.7
2013-03-12,37.4
2013-03-13,37.4
2013-03-14,38.0
2013-03-15,39.2
2013-03-16,37.2
2013-03-17,36.1
2013-03-19,36.2
2013-03-20,34.3
2013-03-21,33.4
2013-03-22,35.3
2013-03-23,38.0
2013-03-24,39.0
2013-03-26,39.3
2013-03-27,38.6
2013-03-28,36.1
2013-03-29,33.9
2013-03-30,36.4
2013-03-31,35.4
2013-04-02,33.1
2013-04-03,32.4
2013-04-06,33.1
2013-04-07,31.5
2013-04-09,31.5
2013-04-10,31.0
2013-04-11,33.1
2013-04-12,31.1
2013-04-13,29.0
2013-04-14,31.1
2013-04-16,30.2
2013-04-17,29.9
2013-04-18,30.4
2013-04-19,30.3
2013-04-20,30.1
2013-04-21,30.7
2013-04-23,34.2
2013-04-24,40.8
2013-04-25,41.7
2013-04-26,39.5
2013-04-27,45.9
2013-04-28,46.0
2013-04-30,38.8
2013-05-01,38.0
2013-05-02,39.0
2013-05-03,39.7
2013-05-04,40.3
2013-05-05,39.4
2013-05-07,40.0
2013-05-08,39.4
2013-05-09,38.0
2013-05-10,39.0
2013-05-11,39.5
2013-05-12,39.1
2013-05-14,37.6
2013-05-15,36.8
2013-05-16,35.1
2013-05-17,34.5
2013-05-18,34.7
2013-05-19,33.9
2013-05-21,31.1
2013-05-22,29.2
2013-05-23,30.4
2013-05-24,30.7
2013-05-25,29.9
2013-05-26,29.9
2013-05-28,26.9
2013-05-29,24.2
2013-05-30,23.3
2013-05-31,19.4
2013-06-01,18.8
2013-06-02,17.8
2013-06-04,18.2
2013-06-05,17.3
2013-06-06,17.3
2013-06-07,17.8
2013-06-08,17.7
2013-06-09,18.4
2013-06-11,18.1
2013-06-12,16.5
2013-06-15,14.7
2013-06-16,12.8
2013-06-18,12.2
2013-06-19,10.5
2013-06-20,10.7
2013-06-21,11.3
2013-06-22,11.5
2013-06-23,11.4
2013-06-25,11.6
2013-06-26,10.3
2013-06-27,9.2
2013-06-28,9.1
2013-06-29,9.8
2013-06-30,9.8
2013-07-02,10.2
2013-07-03,10.4
2013-07-04,10.5
2013-07-05,11.0
2013-07-06,12.1
2013-07-07,13.9
2013-07-09,14.2
2013-07-10,13.3
2013-07-11,12.9
2013-07-12,12.1
2013-07-13,11.3
2013-07-14,13.1
2013-07-16,13.8
2013-07-17,12.5
2013-07-18,13.5
2013-07-19,13.6
2013-07-20,15.0
2013-07-21,17.7
2013-07-23,19.9
2013-07-24,21.6
2013-07-25,21.6
2013-07-26,18.5
2013-07-27,19.1
2013-07-28,21.6
2013-07-30,21.6
2013-07-31,21.6
2013-08-01,19.9
2013-08-02,18.4
2013-08-03,20.0
2013-08-04,21.9
2013-08-06,23.9
2013-08-07,24.8
2013-08-08,25.3
2013-08-09,21.2
2013-08-10,22.5
2013-08-11,23.3
2013-08-13,21.4
2013-08-14,22.0
2013-08-15,22.6
2013-08-16,22.6
2013-08-17,23.6
2013-08-18,27.0
2013-08-20,25.7
2013-08-21,25.0
2013-08-24,23.6
2013-08-25,23.2
2013-08-27,24.9
2013-08-28,27.6
2013-08-29,28.6
2013-08-30,28.7
2013-08-31,27.3
2013-09-01,28.6
2013-09-03,34.3
2013-09-04,33.6
2013-09-05,36.7
2013-09-06,35.3
2013-09-07,40.2
2013-09-08,42.2
