trade_date,price
2012-12-21,46.10
2012-12-22,47.20
2012-12-23,46.60
2012-12-25,46.50
2012-12-26,48.40
2012-12-27,46.80
2012-12-28,46.30
2012-12-29,47.80
2012-12-30,47.90
2013-01-01,45.00
2013-01-02,43.20
2013-01-03,40.60
2013-01-04,39.30
2013-01-05,40.30
2013-01-06,43.50
2013-01-08,44.20
2013-01-09,40.60
2013-01-10,37.80
2013-01-11,38.30
2013-01-12,40.20
2013-01-13,40.50
2013-01-15,39.50
2013-01-16,37.60
2013-01-17,34.10
2013-01-18,32.90
2013-01-19,32.10
2013-01-20,33.20
2013-01-22,36.50
2013-01-23,37.00
2013-01-24,36.00
2013-01-25,36.00
2013-01-26,36.90
2013-01-27,38.00
2013-01-29,37.80
2013-01-30,36.50
2013-01-31,34.30
2013-02-01,36.30
2013-02-02,36.60
2013-02-03,36.80
2013-02-05,34.80
2013-02-06,33.10
2013-02-07,32.30
2013-02-08,32.40
2013-02-09,34.40
2013-02-15,39.60
2013-02-16,35.70
2013-02-17,36.50
2013-02-19,36.20
2013-02-20,35.70
2013-02-21,34.10
2013-02-22,32.70
2013-02-23,34.50
2013-02-24,37.40
2013-02-27,36.30
2013-02-28,33.30
2013-03-01,32.70
2013-03-02,31.50
2013-03-03,30.00
2013-03-05,29.90
2013-03-06,29.70
2013-03-07,31.00
2013-03-08,34.70
2013-03-09,36.10
2013-03-10,36.70
2013-03-12,37.40
2013-03-13,37.40
2013-03-14,38.00
2013-03-15,39.20
2013-03-16,37.20
2013-03-17,36.10
2013-03-19,36.20
2013-03-20,34.30
2013-03-21,33.40
2013-03-22,35.30
2013-03-23,38.00
2013-03-24,39.00
2013-03-26,39.30
2013-03-27,38.60
2013-03-28,36.10
2013-03-29,33.90
2013-03-30,36.40
2013-03-31,35.40
2013-04-02,33.10
2013-04-03,32.40
2013-04-06,33.10
2013-04-07,31.50
2013-04-09,31.50
2013-04-10,31.00
2013-04-11,33.10
2013-04-12,31.10
2013-04-13,29.00
2013-04-14,31.10
2013-04-16,30.20
2013-04-17,29.90
2013-04-18,30.40
2013-04-19,30.30
2013-04-20,30.10
2013-04-21,30.70
2013-04-23,34.20
2013-04-24,40.80
2013-04-25,41.70
2013-04-26,39.50
2013-04-27,45.90
2013-04-28,46.00
2013-04-30,38.80
2013-05-01,38.00
2013-05-02,39.00
2013-05-03,39.70
2013-05-04,40.30
2013-05-05,39.40
2013-05-07,40.00
2013-05-08,39.40
2013-05-09,38.00
2013-05-10,39.00
2013-05-11,39.50
2013-05-12,39.10
2013-05-14,37.60
2013-05-15,36.80
2013-05-16,35.10
2013-05-17,34.50
2013-05-18,34.70
2013-05-19,33.90
2013-05-21,31.10
2013-05-22,29.20
2013-05-23,30.40
2013-05-24,30.70
2013-05-25,29.90
2013-05-26,29.90
2013-05-28,26.90
2013-05-29,24.20
2013-05-30,23.30
2013-05-31,19.40
2013-06-01,18.80
2013-06-02,17.80
2013-06-04,18.20
2013-06-05,17.30
2013-06-06,17.30
2013-06-07,17.80
2013-06-08,17.70
2013-06-09,18.40
2013-06-11,18.10
2013-06-12,16.50
2013-06-15,14.70
2013-06-16,12.80
2013-06-18,12.20
2013-06-19,10.50
2013-06-20,10.70
2013-06-21,11.30
2013-06-22,11.50
2013-06-23,11.40
2013-06-25,11.60
2013-06-26,10.30
2013-06-27,9.20
2013-06-28,9.10
2013-06-29,9.80
2013-06-30,9.80
2013-07-02,10.20
2013-07-03,10.40
2013-07-04,10.50
2013-07-05,11.00
2013-07-06,12.10
2013-07-07,13.90
2013-07-09,14.20
2013-07-10,13.30
2013-07-11,12.90
2013-07-12,12.10
2013-07-13,11.30
2013-07-14,13.10
2013-07-16,13.80
2013-07-17,12.50
2013-07-18,13.50
2013-07-19,13.60
2013-07-20,15.00
2013-07-21,17.70
2013-07-23,19.90
2013-07-24,21.60
2013-07-25,21.60
2013-07-26,18.50
2013-07-27,19.10
2013-07-28,21.60
2013-07-30,21.60
2013-07-31,21.60
2013-08-01,19.90
2013-08-02,18.40
2013-08-03,20.00
2013-08-04,21.90
2013-08-06,23.90
2013-08-07,24.80
2013-08-08,25.30
2013-08-09,21.20
2013-08-10,22.50
2013-08-11,23.30
2013-08-13,21.40
2013-08-14,22.00
2013-08-15,22.60
2013-08-16,22.60
2013-08-17,23.60
2013-08-18,27.00
2013-08-20,25.70
2013-08-21,25.00
2013-08-24,23.60
2013-08-25,23.20
2013-08-27,24.90
2013-08-28,27.60
2013-08-29,28.60
2013-08-30,28.70
2013-08-31,27.30
2013-09-01,28.60
2013-09-03,34.30
2013-09-04,33.60
2013-09-05,36.70
2013-09-06,35.30
2013-09-07,40.20
2013-09-08,42.20
2013-09-10,40.30
2013-09-11,38.80
2013-09-12,36.70
2013-09-13,33.90
2013-09-14,35.60
2013-09-15,36.20
2013-09-16,32.80
2013-09-17,32.20
2013-09-18,32.50
2013-09-19,34.10
2013-09-22,34.00
2013-09-24,33.50
2013-09-25,30.90
2013-09-26,30.70
2013-09-27,30.80
2013-09-28,31.00
2013-09-29,30.00
2013-10-01,28.10
2013-10-02,31.40
2013-10-03,30.80
2013-10-04,33.50
2013-10-05,37.60
2013-10-06,35.00
2013-10-08,32.30
2013-10-09,33.40
2013-10-10,33.50
2013-10-11,32.50
2013-10-12,34.40
2013-10-13,37.60
2013-10-15,39.00
2013-10-17,41.10
2013-10-18,41.70
2013-10-19,43.60
2013-10-20,45.30
2013-10-22,44.90
2013-10-23,43.50
2013-10-24,42.50
2013-10-25,40.00
2013-10-26,40.90
2013-10-27,40.60
2013-10-29,41.40
2013-10-30,41.70
2013-10-31,45.80
2013-11-01,44.80
2013-11-02,44.30
2013-11-03,46.50
2013-11-05,49.20
2013-11-06,45.10
2013-11-07,45.90
2013-11-08,45.00
2013-11-09,46.10
2013-11-10,43.20
2013-11-12,40.60
2013-11-13,40.20
2013-11-14,40.60
2013-11-15,40.30
2013-11-16,42.00
2013-11-17,45.70
2013-11-19,44.60
2013-11-20,39.80
2013-11-21,37.40
2013-11-22,33.70
2013-11-23,34.60
2013-11-24,35.40
2013-11-26,38.80
2013-11-27,42.20
2013-11-28,41.60
2013-11-29,38.00
2013-11-30,39.40
2013-12-01,42.80
2013-12-03,42.80
2013-12-04,43.80
2013-12-05,45.90
2013-12-06,46.40
2013-12-07,47.10
2013-12-08,47.50
2013-12-10,47.00
2013-12-11,47.40
2013-12-12,45.50
2013-12-13,44.00
2013-12-14,44.70
2013-12-15,47.50
2013-12-17,47.70
2013-12-18,43.80
2013-12-19,39.00
2013-12-20,37.10
2013-12-21,40.30
2013-12-22,44.60
2013-12-24,44.20
2013-12-25,42.80
2013-12-26,43.10
2013-12-27,41.90
2013-12-28,44.30
2013-12-29,47.40
2013-12-31,47.60
2014-01-01,50.50
2014-01-02,56.00
2014-01-03,57.00
2014-01-04,55.40
2014-01-05,57.40
2014-01-07,54.20
2014-01-08,55.60
2014-01-09,53.40
2014-01-10,46.50
2014-01-11,48.00
2014-01-12,55.30
2014-01-14,54.50
