trade_date,price,amount,d1_origin_price,d1_price,yesterday_amount,p_banana_d1_price,p_banana_d1_amount,d5_avg_price
2019/4/24,28.8,21633,17.2,28.4,28342,33.2,4507,28.72
2019/4/25,28.4,18255,17,28.8,29064,32.6,3189,28.6
2019/4/26,27.4,20988,17,28.4,25498,29.7,3534,28.34
2019/4/27,25.6,25031,17.8,27.4,22566,29.6,2428,28.16
2019/4/28,25.9,20939,18.6,25.6,21209,33,2126,27.72
2019/4/30,27.6,20378,18.8,25.9,21633,34.5,2281,27.22
2019/5/1,28.3,18440,18.6,27.6,18255,30,4799,26.98
2019/5/2,29.4,16585,19,28.3,20988,30.5,3092,26.96
2019/5/3,28.3,23175,19.2,29.4,25031,32.3,2233,27.36
2019/5/4,28,22402,19.6,28.3,20939,36.1,2394,27.9
2019/5/5,30.5,23526,20.2,28,20378,37.2,3401,28.32
2019/5/7,30.8,24431,20.4,30.5,18440,36.6,2227,28.9
2019/5/8,29.2,21071,20.4,30.8,16585,34.7,3034,29.4
2019/5/9,29.6,17162,20.2,29.2,23175,35.7,2263,29.36
2019/5/10,29.7,17681,20.2,29.6,22402,32.2,2664,29.62
2019/5/11,29.6,17704,20.8,29.7,23526,32.1,2653,29.96
2019/5/12,30.9,17989,21,29.6,24431,31.7,3131,29.78
2019/5/14,30.7,19338,21.2,30.9,21071,33.5,2570,29.8
2019/5/15,30.8,19378,22.2,30.7,17162,32.8,4077,30.1
2019/5/17,33.1,18049,23.8,30.8,17681,31.4,3399,30.34
2019/5/18,36.4,21032,25.2,33.1,17704,32.1,5405,31.02
2019/5/19,36.7,22373,28,36.4,17989,31.1,4396,32.38
2019/5/21,39,22197,28.4,36.7,19338,36.1,3041,33.54
2019/5/22,35.9,19252,27.5,39,19378,33.6,4206,35.2
2019/5/23,34.6,16663,28.2,35.9,18049,32.3,2807,36.22
2019/5/24,34.3,18800,28.4,34.6,21032,35.5,3479,36.52
2019/5/25,32.7,18713,29.2,34.3,22373,31.6,3507,36.1
2019/5/26,34.8,17341,29.8,32.7,22197,32,2957,35.3
2019/5/28,32.8,24624,30,34.8,19252,34.1,2801,34.46
2019/5/29,30,20405,29.6,32.8,16663,31.7,4859,33.84
2019/5/30,31.8,14950,29.2,30,18800,28.6,3082,32.92
2019/5/31,34,15858,29,31.8,18713,33.8,2961,32.42
2019/6/1,33.5,18572,28.4,34,17341,33.4,2798,32.68
2019/6/2,31.5,24606,28.2,33.5,24624,35.1,3136,32.42
2019/6/4,31.2,23860,28.4,31.5,20405,40.8,2943,32.16
2019/6/5,33.8,17562,28.8,31.2,14950,35.1,4625,32.4
2019/6/6,33.4,19970,28.2,33.8,15858,33.3,3693,32.8
2019/6/7,33.3,15097,27.6,33.4,18572,35.9,3862,32.68
2019/6/8,35,10951,27.6,33.3,24606,33.3,2530,32.64
2019/6/11,32.3,14143,27.6,35,23860,33.6,1153,33.34
2019/6/12,31.5,19262,26.4,32.3,17562,29.9,6438,33.56
2019/6/13,30.7,16681,26,31.5,19970,27.8,3698,33.1
2019/6/14,30.3,15473,25.4,30.7,15097,31,2118,32.56
2019/6/15,31.5,17416,25.4,30.3,10951,29,2397,31.96
2019/6/16,31.8,25274,24.6,31.5,14143,33.3,3815,31.26
2019/6/18,30,24690,24.4,31.8,19262,36,3615,31.16
2019/6/19,30.5,18933,25.4,30,16681,33.5,4411,30.86
2019/6/20,30.7,15784,25,30.5,15473,29.2,3342,30.82
2019/6/21,29.5,15474,25.2,30.7,17416,31.6,2782,30.9
2019/6/22,27.1,17148,25.4,29.5,25274,27.3,3327,30.5
2019/6/23,25.2,16335,22.2,27.1,24690,25,3357,29.56
2019/6/25,25.9,16605,21.8,25.2,18933,27.3,3759,28.6
2019/6/26,25.9,17244,20.6,25.9,15784,26.5,4802,27.68
2019/6/27,24.9,18191,20.2,25.9,15474,24.8,3381,26.72
2019/6/28,23.4,17890,18.4,24.9,17148,27.7,2462,25.8
2019/6/29,21.5,19378,18.4,23.4,16335,27,2575,25.06
2019/6/30,20.6,19495,19,21.5,16605,23.8,4044,24.32
2019/7/2,22.1,21761,19.4,20.6,17244,28.6,2902,23.26
2019/7/3,22.6,20976,20.2,22.1,18191,27.4,5482,22.5
2019/7/4,21.9,21200,19.6,22.6,17890,26.8,2611,22.04
2019/7/5,22.4,15572,19.2,21.9,19378,25.6,2846,21.74
2019/7/6,21.6,19460,20,22.4,19495,25.3,2688,21.92
2019/7/7,20.8,18402,19.6,21.6,21761,25.3,3277,22.12
2019/7/9,21,18056,19.4,20.8,20976,26.4,2233,21.86
2019/7/10,21.3,14418,19.8,21,21200,24.8,3990,21.54
2019/7/11,20.1,18350,19.8,21.3,15572,22.2,2293,21.42
2019/7/12,20.4,14973,20.4,20.1,19460,24.9,2213,20.96
2019/7/13,20.7,17225,20.8,20.4,18402,26.9,1605,20.72
2019/7/14,20.6,16045,20.4,20.7,18056,29.8,1733,20.7
2019/7/16,20.6,21205,20.2,20.6,14418,24.5,3582,20.62
2019/7/17,22.8,19877,20,20.6,18350,24.5,6881,20.48
2019/7/18,25.5,17275,20.2,22.8,14973,25.6,3992,21.02
2019/7/19,24.1,15387,19.8,25.5,17225,22.6,3663,22.04
2019/7/20,21.5,17420,19.6,24.1,16045,22.5,4246,22.72
2019/7/21,22.1,14293,20,21.5,21205,25,3099,22.9
2019/7/23,22.7,17313,20,22.1,19877,27.7,1514,23.2
2019/7/24,22.4,16573,20.6,22.7,17275,26.1,3545,23.18
2019/7/25,22.3,16053,21.8,22.4,15387,28.5,2792,22.56
2019/7/26,23,15895,22.6,22.3,17420,28.1,2837,22.2
2019/7/27,23,16827,23.4,23,14293,26,3141,22.5
2019/7/28,24.3,14961,24,23,17313,27.5,2919,22.68
2019/7/30,27.4,18419,24,24.3,16573,24.6,2674,23
2019/7/31,27.4,18468,25.4,27.4,16053,27.8,4201,24
2019/8/1,28.2,17883,25.6,27.4,15895,29.8,3398,25.02
2019/8/2,27.7,13412,26,28.2,16827,30.5,3136,26.06
2019/8/3,28.6,14050,28,27.7,14961,29.8,2448,27
2019/8/4,28.7,13410,27,28.6,18419,26.7,3192,27.86
2019/8/6,30.2,13373,27,28.7,18468,28.6,2889,28.12
2019/8/7,30.5,13765,27.4,30.2,17883,28.5,3291,28.68
2019/8/8,28.5,12915,27.4,30.5,13412,27.6,2059,29.14
2019/8/9,27.3,13294,27.4,28.5,14050,27.9,3174,29.3
2019/8/10,25.4,14735,28.2,27.3,13410,27.6,2277,29.04
2019/8/11,24.5,16203,28.4,25.4,13373,35.5,1274,28.38
2019/8/13,26.6,16281,28.4,24.5,13765,30.5,3034,27.24
2019/8/14,25.9,18169,28.8,26.6,12915,27.8,5864,26.46
2019/8/15,27.6,20218,30,25.9,13294,29.8,2922,25.94
2019/8/18,27.6,18060,31.8,27.6,14735,34.3,2736,26
2019/8/20,27.3,18161,32,27.6,16203,28.5,2943,26.44
2019/8/21,29.4,12508,32.2,27.3,16281,32.1,4711,27
2019/8/22,31.4,15248,32.2,29.4,18169,25.8,3935,27.56
2019/8/23,28.3,15793,31.8,31.4,20218,28.8,3066,28.66
2019/8/24,29.3,14845,32,28.3,18060,27,3476,28.8
2019/8/25,29.9,12508,32,29.3,18161,27.1,4607,29.14
2019/8/27,27.4,17025,31.8,29.9,12508,29.1,1515,29.66
2019/8/28,27.1,14521,32.2,27.4,15248,30.4,4273,29.26
2019/8/29,28.4,15157,32.4,27.1,15793,22.9,4192,28.4
2019/8/30,28.4,17117,32.8,28.4,14845,35.1,3199,28.42
2019/8/31,33,13639,33,28.4,12508,29.6,2926,28.24
2019/9/1,33.4,13920,32.4,33,17025,28,3252,28.86
2019/9/3,32.3,14240,32.4,33.4,14521,25.6,2420,30.06
2019/9/4,31.5,12005,30.4,32.3,15157,32.8,4393,31.1
2019/9/5,29.9,17459,30.4,31.5,17117,30.9,2761,31.72
2019/9/6,27.7,15263,31,29.9,13639,28.1,2855,32.02
2019/9/7,27.8,15447,30.6,27.7,13920,23.4,3385,30.96
2019/9/8,27.5,15881,30.6,27.8,14240,29.2,2362,29.84
2019/9/10,29.1,15190,30.6,27.5,12005,25.8,2893,28.88
2019/9/11,30.4,14231,26.8,29.1,17459,30.6,4579,28.4
2019/9/12,27.4,22947,27.2,30.4,15263,29.8,3271,28.5
2019/9/13,25.4,22212,27,27.4,15447,34,4096,28.44
2019/9/14,25.1,10905,25,25.4,15881,26.9,2754,27.96
2019/9/17,26.1,15953,24.8,25.1,15190,32.1,510,27.48
2019/9/18,26.4,17035,23.6,26.1,14231,28.9,4227,26.88
2019/9/19,25.6,16616,23,26.4,22947,24.2,3094,26.08
2019/9/20,25.5,16793,23,25.6,22212,32.5,3191,25.72
2019/9/21,25.5,14116,22.6,25.5,10905,25.4,2905,25.74
2019/9/22,24.8,16599,22,25.5,15953,26.1,3191,25.82
2019/9/24,27.9,17528,22,24.8,17035,25.5,2545,25.56
2019/9/25,29.6,15270,21.8,27.9,16616,28.1,4723,25.86
2019/9/26,26.4,17724,21.8,29.6,16793,23.3,3326,26.66
2019/9/27,27.1,17839,21.6,26.4,14116,29.7,4333,26.84
2019/9/28,27.9,19077,21.2,27.1,16599,26.4,3999,27.16
2019/9/29,25.7,20910,21.2,27.9,17528,30.9,3297,27.78
2019/10/1,23.6,18261,21.2,25.7,15270,23.3,2213,27.34
2019/10/2,25.8,14674,21.4,23.6,17724,29.3,3387,26.14
2019/10/3,29.9,12278,22.2,25.8,17839,33.7,1902,26.02
2019/10/4,29.2,17743,22,29.9,19077,30,3951,26.58
2019/10/5,28.2,16309,22,29.2,20910,30.8,3170,26.84
2019/10/6,28.3,15399,22.2,28.2,18261,29.6,3562,27.34
2019/10/8,27.1,22162,22.2,28.3,14674,27.8,2417,28.28
2019/10/9,26.7,15315,22.8,27.1,12278,30,5460,28.54
2019/10/10,26.4,16805,22.8,26.7,17743,28.2,2710,27.9
2019/10/11,26.4,15248,22.6,26.4,16309,30,2838,27.34
2019/10/12,27.3,18279,22.6,26.4,15399,30.6,3517,26.98
2019/10/13,28.5,19234,22.6,27.3,22162,30.5,2631,26.78
2019/10/15,27,22574,22.6,28.5,15315,28.7,2309,27.06
2019/10/16,25.9,21195,20.6,27,16805,28.2,5681,27.12
2019/10/18,26.7,20617,19.8,25.9,15248,32,2288,27.02
2019/10/19,25.7,23607,19.8,26.7,18279,29.9,4611,27.08
2019/10/20,23.8,20110,19.2,25.7,19234,27.2,3473,26.76
2019/10/22,23.6,23820,19.2,23.8,22574,28.4,2124,25.82
2019/10/23,24.1,18178,19.2,23.6,21195,29.9,4434,25.14
2019/10/24,24.8,17020,18.6,24.1,20617,27.1,3133,24.78
2019/10/25,26,17282,18.2,24.8,23607,34.7,2430,24.4
2019/10/26,24.5,21381,18,26,20110,27.6,3478,24.46
2019/10/27,23.9,22814,17.6,24.5,23820,30.8,3810,24.6
2019/10/29,23.5,25350,17,23.9,18178,30.4,3253,24.66
2019/10/30,24,20863,16.4,23.5,17020,31.3,4052,24.54
2019/10/31,22.9,18024,16.2,24,17282,28.4,2739,24.38
2019/11/1,22.3,19258,16.8,22.9,21381,29.4,3146,23.76
2019/11/2,21.3,21462,16.4,22.3,22814,25.9,2080,23.32
2019/11/3,23.1,16921,16.4,21.3,25350,28.8,1828,22.8
2019/11/5,22.9,23300,16.2,23.1,20863,29.7,1657,22.72
2019/11/6,22.1,21884,15.2,22.9,18024,28.3,4863,22.5
2019/11/7,22.1,20522,14.2,22.1,19258,26.9,3322,22.34
2019/11/8,21.6,21780,14,22.1,21462,28.6,3209,22.3
2019/11/9,21.5,22535,14,21.6,16921,26.7,2688,22.36
2019/11/10,22.8,23628,13.8,21.5,23300,26.8,2899,22.04
2019/11/12,23.2,27215,13.6,22.8,21884,32.8,3186,22.02
2019/11/13,23.4,23691,13.6,23.2,20522,30.6,3943,22.24
2019/11/15,22.9,22577,14,23.4,21780,31.6,2392,22.5
2019/11/16,21.6,27495,13.6,22.9,22535,31,3283,22.76
2019/11/17,21.7,22207,13.4,21.6,23628,27.9,2436,22.78
2019/11/19,20.8,23190,13.8,21.7,27215,34.1,2207,22.56
2019/11/20,20.8,20776,14.6,20.8,23691,31.9,3092,22.08
2019/11/21,20.5,21608,14.8,20.8,22577,32.6,2203,21.56
2019/11/22,18.8,22678,16,20.5,27495,29,2471,21.08
2019/11/23,20.1,18390,18.6,18.8,22207,25,2374,20.52
2019/11/24,23.6,17262,19.4,20.1,23190,27.7,2845,20.2
2019/11/26,23.8,23493,19.4,23.6,20776,33.1,3141,20.76
2019/11/27,23.1,21707,19.6,23.8,21608,27.4,4268,21.36
2019/11/28,21.7,18449,19.6,23.1,22678,25.5,2935,21.88
2019/11/29,22.6,16391,20,21.7,18390,27.7,2606,22.46
2019/11/30,24.6,13047,20,22.6,17262,23.5,1897,22.96
2019/12/1,26.3,14359,20,24.6,23493,27.6,1977,23.16
2019/12/3,24.9,21378,20.2,26.3,21707,30.1,1618,23.66
2019/12/4,23,18038,20.6,24.9,18449,27.8,3943,24.02
2019/12/5,22.3,16222,21,23,16391,31.9,1781,24.28
2019/12/6,22.4,17404,21.6,22.3,13047,28.9,2717,24.22
2019/12/7,22.4,17852,21.6,22.4,14359,29.9,1171,23.78
2019/12/8,24.4,18420,22.2,22.4,21378,28.9,974,23
2019/12/10,27.1,21078,22.6,24.4,18038,44.8,1475,22.9
2019/12/11,28.4,18645,24.2,27.1,16222,31.4,4854,23.72
2019/12/12,31.6,12304,25,28.4,17404,29,2831,24.94
2019/12/13,36.5,14644,25.2,31.6,17852,27.5,2083,26.78
2019/12/14,33.5,15579,25.2,36.5,18420,33.6,1793,29.6
2019/12/15,32.6,15593,27.6,33.5,21078,33,1471,31.42
2019/12/17,32.9,17208,28,32.6,18645,28.1,1772,32.52
2019/12/18,31.1,16466,27.8,32.9,12304,34.2,2591,33.42
2019/12/19,30.1,15513,28.4,31.1,14644,29.2,1777,33.32
2019/12/20,31.9,12611,29.4,30.1,15579,35.8,2007,32.04
2019/12/21,32,16661,29.8,31.9,15593,33.4,1885,31.72
2019/12/22,32.6,11414,29.6,32,17208,38.5,1334,31.6
2019/12/24,35.3,18697,30,32.6,16466,32.7,2555,31.54
2019/12/25,34.8,18119,30.4,35.3,15513,32.5,3901,32.38
2019/12/26,34,21945,29.6,34.8,12611,39.6,1803,33.32
2019/12/27,33.2,15308,29.2,34,16661,42.1,2216,33.74
2019/12/28,32.6,17840,28.4,33.2,11414,34.4,1844,33.98
2019/12/29,32.2,13077,26.2,32.6,18697,37.5,1711,33.98
2019/12/31,32.2,16827,26.2,32.2,18119,32,1937,33.36
2020/1/1,31,15350,23,32.2,21945,35.8,2201,32.84
2020/1/2,30.1,14727,23.4,31,15308,33.7,1980,32.24
2020/1/3,29.1,16578,23.4,30.1,17840,38.6,1010,31.62
2020/1/4,27.1,18573,23.6,29.1,13077,35.1,1320,30.92
2020/1/5,28.1,16251,22.6,27.1,16827,31.4,1991,29.9
2020/1/7,29.8,16325,22.4,28.1,15350,29.7,2143,29.08
2020/1/8,30.9,18542,22.4,29.8,14727,30.6,4932,28.84
2020/1/9,31.4,20366,23,30.9,16578,30.8,2640,29
2020/1/10,32.4,18655,21.4,31.4,18573,35.8,1902,29.46
2020/1/11,31,16384,21.2,32.4,16251,29.4,1563,30.52
2020/1/12,29.8,16383,22,31,16325,30.3,1911,31.1
2020/1/14,27.8,18142,22.2,29.8,18542,27.5,713,31.1
2020/1/15,26.4,18233,21,27.8,20366,33.6,2133,30.48
2020/1/16,25.8,15405,20.8,26.4,18655,28.6,2271,29.48
2020/1/17,27.2,14668,21,25.8,16384,35.8,1821,28.16
2020/1/18,27,15788,20.8,27.2,16383,28.7,1952,27.4
2020/1/19,26.7,13942,20,27,18142,25,2215,26.84
2020/1/21,25.5,15676,20,26.7,18233,22.2,1971,26.62
2020/1/22,28.2,19174,19.4,25.5,15405,22.8,4014,26.44
2020/1/23,25.9,17877,17.8,28.2,14668,25.5,2127,26.92
2020/1/24,26.3,10830,17.25,25.9,15788,27.8,1594,26.66
2020/1/30,30.9,16626,17.25,26.3,13942,39.6,412,26.52
2020/1/31,29.9,21556,17.5,30.9,15676,39.3,2087,27.36
2020/2/1,27.7,19733,18.2,29.9,19174,36.2,1966,28.24
2020/2/4,28,22156,20,27.7,17877,40,1771,28.14
2020/2/5,28.4,15136,20,28,10830,34.1,2864,28.56
2020/2/6,26.1,16459,20.2,28.4,16626,29.9,2144,28.98
2020/2/7,26,18663,20.6,26.1,21556,34.9,2249,28.02
2020/2/8,26.2,23315,20.6,26,19733,35.4,2582,27.24
2020/2/11,26.9,23862,21.2,26.2,22156,29.5,2026,26.94
2020/2/12,25.7,18077,21.6,26.9,15136,28.8,3452,26.72
2020/2/13,25.7,14301,21,25.7,16459,27.7,1872,26.18
2020/2/14,26.2,13885,21,25.7,18663,26.9,1751,26.1
2020/2/15,26.6,14827,20.8,26.2,23315,26,1633,26.14
2020/2/16,25.2,17157,20.8,26.6,23862,31,1379,26.22
2020/2/18,24.8,18501,20.8,25.2,18077,30.7,975,25.88
2020/2/19,25.7,15185,21.8,24.8,14301,38.2,1712,25.7
2020/2/20,27,14991,21.8,25.7,13885,36.2,1627,25.7
2020/2/21,30.4,14103,23.2,27,14827,42.1,1742,25.86
2020/2/22,32.6,17464,24,30.4,17157,35.9,2590,26.62
2020/2/23,33.7,17732,24.6,32.6,18501,36.5,2600,28.1
2020/2/25,37.2,17608,24.6,33.7,15185,35,1941,29.88
2020/2/26,37.7,14706,25.4,37.2,14991,38.2,2269,32.18
2020/2/27,37.6,13723,26.6,37.7,14103,33.4,2234,34.32
2020/2/28,36.2,12907,27,37.6,17464,36.5,2304,35.76
2020/2/29,37.2,14375,31.2,36.2,17732,33.5,3109,36.48
2020/3/1,42.4,14193,32.4,37.2,17608,34,1711,37.18
2020/3/3,41.8,14221,32.8,42.4,14706,37.4,1313,38.22
2020/3/4,42.8,15586,34.6,41.8,13723,36.4,3392,39.04
2020/3/5,41.8,13459,35,42.8,12907,32.6,3055,40.08
2020/3/6,39.5,15778,38,41.8,14375,34.7,2808,41.2
2020/3/7,39.5,18960,38.2,39.5,14193,34.6,2281,41.66
2020/3/8,41.8,19260,35.6,39.5,14221,39.5,3047,41.08
2020/3/10,41,14340,35.2,41.8,15586,33.4,3365,41.08
2020/3/11,39.6,13269,34,41,13459,33,4607,40.72
2020/3/12,38.1,16376,34.4,39.6,15778,31.8,2958,40.28
2020/3/13,36.7,14106,33.8,38.1,18960,35.8,2705,40
2020/3/14,34.8,18319,33.2,36.7,19260,33,2635,39.44
2020/3/15,32.9,15380,31.2,34.8,14340,32.4,2432,38.04
2020/3/17,33.1,15463,31.2,32.9,13269,32,1095,36.42
2020/3/18,33.3,19195,29.6,33.1,16376,35.2,4079,35.12
2020/3/19,32.5,16661,28,33.3,14106,34.4,2053,34.16
2020/3/20,31.8,15331,28.2,32.5,18319,37.6,2142,33.32
2020/3/21,34.6,17711,27,31.8,15380,34.1,3152,32.72
2020/3/22,35,19143,27.4,34.6,15463,37.8,3223,33.06
2020/3/24,35.6,19936,27.6,35,19195,39.9,2908,33.44
2020/3/25,36.7,17794,28.4,35.6,16661,39.7,3285,33.9
2020/3/26,34.5,16344,28.6,36.7,15331,40.4,1610,34.74
2020/3/27,35.1,14280,29.8,34.5,17711,44.7,2730,35.28
2020/3/28,36.3,16001,30,35.1,19143,39.6,2799,35.38
2020/3/29,34.9,14490,31.6,36.3,19936,43,2267,35.64
2020/3/31,34.9,16275,32,34.9,17794,37,2488,35.5
2020/4/1,35.3,16214,32.6,34.9,16344,36.2,4240,35.14
2020/4/2,33.1,17614,33.4,35.3,14280,32.8,3759,35.3
2020/4/3,33.1,18809,32.4,33.1,16001,35.1,3673,34.9
2020/4/4,34.8,14585,30.8,33.1,14490,39.2,2791,34.26
2020/4/7,33.3,22052,30,34.8,16275,41.5,1410,34.24
2020/4/8,34.1,21709,27.6,33.3,16214,38.2,4778,33.92
2020/4/9,35.5,18012,27.2,34.1,17614,40.4,2554,33.68
2020/4/10,36.5,14483,28.2,35.5,18809,41.3,2940,34.16
2020/4/11,34.8,17681,28.2,36.5,14585,34.2,4336,34.84
2020/4/12,34.4,15209,28.4,34.8,22052,37,2407,34.84
2020/4/14,34.9,18466,28.6,34.4,21709,29.5,2457,35.06
2020/4/15,36.3,16974,30,34.9,18012,40,3670,35.22
2020/4/16,37.4,16391,30,36.3,14483,38.1,2730,35.38
2020/4/17,36.9,14938,31.6,37.4,17681,42.7,2735,35.56
2020/4/18,38.5,12727,32.8,36.9,15209,37.4,2585,35.98
2020/4/19,37.1,14348,35,38.5,18466,39.2,3391,36.8
2020/4/21,39.9,13049,35.4,37.1,16974,39.9,2507,37.24
2020/4/22,42.7,15570,38.2,39.9,16391,38.5,5267,37.96
2020/4/23,41,18771,40.6,42.7,14938,42,3602,39.02
2020/4/24,47.2,15606,41.2,41,12727,43.2,3380,39.84
2020/4/25,46.8,13155,41.4,47.2,14348,44.3,1833,41.58
2020/4/26,49.4,10044,41.2,46.8,13049,44,2480,43.52
2020/4/28,50.6,12629,40.6,49.4,15570,50.7,2097,45.42
2020/4/29,49.1,14511,40.6,50.6,18771,41.4,4625,47
2020/4/30,45,17334,41.4,49.1,15606,39,3599,48.62
